"","Series","Ep.name","Season","Ep.Number","Ep.Rating","Length","Year","Votes","Genre.1","Genre2","Genre3","Series.Rating","TV.Rating","Location"
"44","Game of Thrones","Sons of the Harpy",5,4,8.8,51,2015,15822,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"45","Game of Thrones","Kill the Boy",5,5,8.7,57,2015,16056,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"46","Game of Thrones","Unbowed, Unbent, Unbroken",5,6,8.1,54,2015,18332,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"47","Game of Thrones","The Gift",5,7,9.1,59,2015,18129,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"48","Game of Thrones","Hardhome",5,8,9.9,61,2015,68244,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"49","Game of Thrones","The Dance of Dragons",5,9,9.5,52,2015,29030,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"50","Game of Thrones","Mother's Mercy",5,10,9,60,2015,28197,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"51","Game of Thrones","The Red Woman",6,1,8.6,50,2016,27650,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"52","Game of Thrones","Home",6,2,9.5,54,2016,33623,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"53","Game of Thrones","Oathbreaker",6,3,8.8,52,2016,21943,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"54","Game of Thrones","Book of the Stranger",6,4,9.2,59,2016,24070,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"55","Game of Thrones","The Door",6,5,9.7,57,2016,49439,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"56","Game of Thrones","Blood of My Blood",6,6,8.5,52,2016,21746,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"57","Game of Thrones","The Broken Man",6,7,8.6,51,2016,21046,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"58","Game of Thrones","No One",6,8,8.4,59,2016,24498,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"59","Game of Thrones","Battle of the Bastards",6,9,9.9,60,2016,153694,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"60","Game of Thrones","The Winds of Winter",6,10,9.9,68,2016,105672,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"61","Game of Thrones","Dragonstone",7,1,8.7,59,2017,34795,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"62","Game of Thrones","Stormborn",7,2,9,59,2017,28823,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"63","Game of Thrones","The Queen's Justice",7,3,9.3,63,2017,29913,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"64","Game of Thrones","The Spoils of War",7,4,9.8,50,2017,61294,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"65","Game of Thrones","Eastwatch",7,5,9,59,2017,27971,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"66","Game of Thrones","Beyond the Wall",7,6,9.2,70,2017,41757,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"67","Game of Thrones","The Dragon and the Wolf",7,7,9.6,80,2017,39453,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"68","Breaking Bad","Pilot",1,1,8.9,58,2008,17029,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"69","Breaking Bad","Cat's in the Bag...",1,2,8.7,48,2008,11717,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"70","Breaking Bad","...And the Bag's in the River",1,3,8.7,48,2008,11349,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"71","Breaking Bad","Cancer Man",1,4,8.3,48,2008,10949,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"72","Breaking Bad","Gray Matter",1,5,8.3,48,2008,10707,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"73","Breaking Bad","Crazy Handful of Nothin'",1,6,9.2,48,2008,12469,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"74","Breaking Bad","A No-Rough-Stuff-Type Deal",1,7,8.8,48,2008,11021,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"75","Breaking Bad","Seven Thirty-Seven",2,1,8.7,47,2009,9776,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"76","Breaking Bad","Grilled",2,2,9.2,46,2009,11625,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"77","Breaking Bad","Bit by a Dead Bee",2,3,8.4,47,2009,9483,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"78","Breaking Bad","Down",2,4,8.2,47,2009,9542,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"79","Breaking Bad","Breakage",2,5,8.3,47,2009,9301,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"80","Breaking Bad","Peekaboo",2,6,8.8,47,2009,10444,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"81","Breaking Bad","Negro Y Azul",2,7,8.7,47,2009,9271,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"82","Breaking Bad","Better Call Saul",2,8,9,47,2009,10951,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"83","Breaking Bad","4 Days Out",2,9,8.9,47,2009,10797,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"84","Breaking Bad","Over",2,10,8.6,47,2009,9083,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"85","Breaking Bad","Mandala",2,11,8.8,47,2009,9509,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"86","Breaking Bad","Phoenix",2,12,9.1,47,2009,10715,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"87","Breaking Bad","ABQ",2,13,9.1,48,2009,10795,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"88","Breaking Bad","No Más",3,1,8.6,47,2010,9057,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"89","Breaking Bad","Caballo sin Nombre",3,2,8.7,47,2010,8717,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"90","Breaking Bad","I.F.T.",3,3,8.5,47,2010,8763,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"91","Breaking Bad","Green Light",3,4,8.2,47,2010,8898,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"92","Breaking Bad","Más",3,5,8.7,47,2010,8451,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"93","Breaking Bad","Sunset",3,6,9.3,47,2010,10384,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"94","Breaking Bad","One Minute",3,7,9.5,47,2010,13040,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"95","Breaking Bad","I See You",3,8,8.8,47,2010,8844,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"96","Breaking Bad","Kafkaesque",3,9,8.4,47,2010,8764,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"97","Breaking Bad","Fly",3,10,7.6,47,2010,15323,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"98","Breaking Bad","Abiquiu",3,11,8.5,47,2010,8658,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"99","Breaking Bad","Half Measures",3,12,9.5,47,2010,12482,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"100","Breaking Bad","Full Measure",3,13,9.6,47,2010,14171,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"101","Breaking Bad","Box Cutter",4,1,9.1,48,2011,11413,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"102","Breaking Bad","Thirty-Eight Snub",4,2,8.2,60,2011,9114,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"103","Breaking Bad","Open House",4,3,8,47,2011,9147,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"104","Breaking Bad","Bullet Points",4,4,8.7,47,2011,8575,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"105","Breaking Bad","Shotgun",4,5,8.7,47,2011,8597,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"106","Breaking Bad","Cornered",4,6,8.5,47,2011,8736,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"107","Breaking Bad","Problem Dog",4,7,8.8,47,2011,9200,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"108","Breaking Bad","Hermanos",4,8,9.1,47,2011,10432,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"109","Breaking Bad","Bug",4,9,8.8,47,2011,9276,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"110","Breaking Bad","Salud",4,10,9.5,47,2011,13467,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"111","Breaking Bad","Crawl Space",4,11,9.6,45,2011,15527,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"112","Breaking Bad","End Times",4,12,9.4,47,2011,11849,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"113","Breaking Bad","Face Off",4,13,9.8,51,2011,29789,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"114","Breaking Bad","Live Free or Die",5,1,9.2,43,2012,13741,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"115","Breaking Bad","Madrigal",5,2,8.8,48,2012,11208,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"116","Breaking Bad","Hazard Pay",5,3,8.8,48,2012,10759,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"117","Breaking Bad","Fifty-One",5,4,8.8,48,2012,10836,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"118","Breaking Bad","Dead Freight",5,5,9.6,48,2012,16925,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"119","Breaking Bad","Buyout",5,6,8.8,48,2012,11189,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"120","Breaking Bad","Say My Name",5,7,9.5,48,2012,14460,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"121","Breaking Bad","Gliding Over All",5,8,9.5,48,2012,15436,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"122","Breaking Bad","Blood Money",5,9,9.4,48,2013,15138,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"123","Breaking Bad","Buried",5,10,9,48,2013,12826,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"124","Breaking Bad","Confessions",5,11,9.5,48,2013,16239,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"125","Breaking Bad","Rabid Dog",5,12,9,48,2013,13364,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"126","Breaking Bad","To'hajiilee",5,13,9.7,47,2013,23729,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"127","Breaking Bad","Ozymandias",5,14,9.9,48,2013,93567,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"128","Breaking Bad","Granite State",5,15,9.6,55,2013,23628,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"129","Breaking Bad","Felina",5,16,9.9,55,2013,64140,"Crime","Drama","Thriller",9.4,"TV-MA","New Mexico"
"130","Sherlock","Unaired Pilot",1,1,8.9,55,2010,8099,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"131","Sherlock","A Study in Pink",1,2,9.1,88,2010,23373,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"132","Sherlock","The Blind Banker",1,3,8.1,89,2010,20155,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"133","Sherlock","The Great Game",1,4,9.2,89,2010,20578,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"134","Sherlock","A Scandal in Belgravia",2,1,9.5,89,2012,29845,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"135","Sherlock","The Hounds of Baskerville",2,2,8.5,88,2012,19985,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"136","Sherlock","The Reichenbach Fall",2,3,9.7,88,2012,28782,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"137","Sherlock","Many Happy Returns",3,1,8.7,7,2013,8399,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"138","Sherlock","The Empty Hearse",3,2,9,88,2014,24576,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"139","Sherlock","The Sign of Three",3,3,9,86,2014,21156,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"140","Sherlock","His Last Vow",3,4,9.4,89,2014,23806,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"141","Sherlock","The Abominable Bride",4,1,8.2,89,2016,28627,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"142","Sherlock","The Six Thatchers",4,2,7.7,88,2017,18613,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"143","Sherlock","The Lying Detective",4,3,9.3,89,2017,20956,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"144","Sherlock","The Final Problem",4,4,8.3,89,2017,19962,"Crime","Drama","Mystery",9.1,"TV-14","UK"
"145","Friends","The One Where Monica Gets a Roommate",1,1,8.5,22,1994,4655,"Comedy","Romance","",8.9,"TV-14","New York"
"146","Friends","The One with the Sonogram at the End",1,2,8.2,22,1994,3385,"Comedy","Romance","",8.9,"TV-14","New York"
"147","Friends","The One with the Thumb",1,3,8.3,22,1994,3165,"Comedy","Romance","",8.9,"TV-14","New York"
"148","Friends","The One with George Stephanopoulos",1,4,8.2,22,1994,3056,"Comedy","Romance","",8.9,"TV-14","New York"
"149","Friends","The One with the East German Laundry Detergent",1,5,8.6,22,1994,3014,"Comedy","Romance","",8.9,"TV-14","New York"
"150","Friends","The One with the Butt",1,6,8.3,22,1994,2930,"Comedy","Romance","",8.9,"TV-14","New York"
"151","Friends","The One with the Blackout",1,7,9,22,1994,3790,"Comedy","Romance","",8.9,"TV-14","New York"
"152","Friends","The One Where Nana Dies Twice",1,8,8.2,22,1994,2836,"Comedy","Romance","",8.9,"TV-14","New York"
"153","Friends","The One Where Underdog Gets Away",1,9,8.3,22,1994,2755,"Comedy","Romance","",8.9,"TV-14","New York"
"154","Friends","The One with the Monkey",1,10,8.1,22,1994,2776,"Comedy","Romance","",8.9,"TV-14","New York"
"155","Friends","The One with Mrs. Bing",1,11,8.3,22,1995,2729,"Comedy","Romance","",8.9,"TV-14","New York"
"156","Friends","The One with the Dozen Lasagnas",1,12,8.3,22,1995,2690,"Comedy","Romance","",8.9,"TV-14","New York"
"157","Friends","The One with the Boobies",1,13,8.7,22,1995,2866,"Comedy","Romance","",8.9,"TV-14","New York"
"158","Friends","The One with the Candy Hearts",1,14,8.4,22,1995,2650,"Comedy","Romance","",8.9,"TV-14","New York"
"159","Friends","The One with the Stoned Guy",1,15,8.4,22,1995,2707,"Comedy","Romance","",8.9,"TV-14","New York"
"160","Friends","The One with Two Parts: Part 1",1,16,8.3,22,1995,2662,"Comedy","Romance","",8.9,"TV-14","New York"
"161","Friends","The One with Two Parts: Part 2",1,17,8.5,22,1995,2672,"Comedy","Romance","",8.9,"TV-14","New York"
"162","Friends","The One with All the Poker",1,18,8.9,22,1995,3026,"Comedy","Romance","",8.9,"TV-14","New York"
"163","Friends","The One Where the Monkey Gets Away",1,19,8.2,22,1995,2560,"Comedy","Romance","",8.9,"TV-14","New York"
"164","Friends","The One with the Evil Orthodontist",1,20,8,22,1995,2563,"Comedy","Romance","",8.9,"TV-14","New York"
"165","Friends","The One with the Fake Monica",1,21,8,22,1995,2595,"Comedy","Romance","",8.9,"TV-14","New York"
"166","Friends","The One with the Ick Factor",1,22,8.4,22,1995,2555,"Comedy","Romance","",8.9,"TV-14","New York"
"167","Friends","The One with the Birth",1,23,8.7,22,1995,2679,"Comedy","Romance","",8.9,"TV-14","New York"
"168","Friends","The One Where Rachel Finds Out",1,24,8.9,22,1995,2866,"Comedy","Romance","",8.9,"TV-14","New York"
"169","Friends","The One with Ross's New Girlfriend",2,1,8.6,22,1995,2610,"Comedy","Romance","",8.9,"TV-14","New York"
"170","Friends","The One with the Breast Milk",2,2,8.3,22,1995,2507,"Comedy","Romance","",8.9,"TV-14","New York"
"171","Friends","The One Where Heckles Dies",2,3,8.4,22,1995,2517,"Comedy","Romance","",8.9,"TV-14","New York"
"172","Friends","The One with Phoebe's Husband",2,4,8,22,1995,2447,"Comedy","Romance","",8.9,"TV-14","New York"
"173","Friends","The One with Five Steaks and an Eggplant",2,5,8.3,22,1995,2436,"Comedy","Romance","",8.9,"TV-14","New York"
"174","Friends","The One with the Baby on the Bus",2,6,8.6,22,1995,2643,"Comedy","Romance","",8.9,"TV-14","New York"
"175","Friends","The One Where Ross Finds Out",2,7,9,22,1995,2954,"Comedy","Romance","",8.9,"TV-14","New York"
"176","Friends","The One with the List",2,8,8.5,22,1995,2452,"Comedy","Romance","",8.9,"TV-14","New York"
"177","Friends","The One with Phoebe's Dad",2,9,8.1,22,1995,2377,"Comedy","Romance","",8.9,"TV-14","New York"
"178","Friends","The One with Russ",2,10,8.2,22,1996,2498,"Comedy","Romance","",8.9,"TV-14","New York"
"179","Friends","The One with the Lesbian Wedding",2,11,8.2,22,1996,2435,"Comedy","Romance","",8.9,"TV-14","New York"
"180","Friends","The One After the Superbowl: Part 1",2,12,8.7,22,1996,2577,"Comedy","Romance","",8.9,"TV-14","New York"
"181","Friends","The One After the Superbowl: Part 2",2,13,8.8,22,1996,2638,"Comedy","Romance","",8.9,"TV-14","New York"
"182","Friends","The One with the Prom Video",2,14,9.4,22,1996,4019,"Comedy","Romance","",8.9,"TV-14","New York"
"183","Friends","The One Where Ross and Rachel... You Know",2,15,8.9,22,1996,2753,"Comedy","Romance","",8.9,"TV-14","New York"
"184","Friends","The One Where Joey Moves Out",2,16,8.6,22,1996,2355,"Comedy","Romance","",8.9,"TV-14","New York"
"185","Friends","The One Where Eddie Moves In",2,17,8.4,22,1996,2349,"Comedy","Romance","",8.9,"TV-14","New York"
"186","Friends","The One Where Dr. Ramoray Dies",2,18,8.5,22,1996,2341,"Comedy","Romance","",8.9,"TV-14","New York"
"187","Friends","The One Where Eddie Won't Go",2,19,8.6,22,1996,2417,"Comedy","Romance","",8.9,"TV-14","New York"
"188","Friends","The One Where Old Yeller Dies",2,20,8.2,22,1996,2262,"Comedy","Romance","",8.9,"TV-14","New York"
"189","Friends","The One with the Bullies",2,21,8.3,22,1996,2305,"Comedy","Romance","",8.9,"TV-14","New York"
"190","Friends","The One with the Two Parties",2,22,9,22,1996,2855,"Comedy","Romance","",8.9,"TV-14","New York"
"191","Friends","The One with the Chicken Pox",2,23,8.2,22,1996,2346,"Comedy","Romance","",8.9,"TV-14","New York"
"192","Friends","The One with Barry and Mindy's Wedding",2,24,8.3,22,1996,2295,"Comedy","Romance","",8.9,"TV-14","New York"
"193","Friends","The One with the Princess Leia Fantasy",3,1,8.5,22,1996,2404,"Comedy","Romance","",8.9,"TV-14","New York"
"194","Friends","The One Where No One's Ready",3,2,9,22,1996,3214,"Comedy","Romance","",8.9,"TV-14","New York"
"195","Friends","The One with the Jam",3,3,8.2,22,1996,2290,"Comedy","Romance","",8.9,"TV-14","New York"
"196","Friends","The One with the Metaphorical Tunnel",3,4,8.2,22,1996,2199,"Comedy","Romance","",8.9,"TV-14","New York"
"197","Friends","The One with Frank Jr.",3,5,8.2,22,1996,2261,"Comedy","Romance","",8.9,"TV-14","New York"
"198","Friends","The One with the Flashback",3,6,9.1,22,1996,2985,"Comedy","Romance","",8.9,"TV-14","New York"
"199","Friends","The One with the Race Car Bed",3,7,8.4,22,1996,2216,"Comedy","Romance","",8.9,"TV-14","New York"
"200","Friends","The One with the Giant Poking Device",3,8,8.4,22,1996,2225,"Comedy","Romance","",8.9,"TV-14","New York"
"201","Friends","The One with the Football",3,9,9.1,22,1996,3245,"Comedy","Romance","",8.9,"TV-14","New York"
"202","Friends","The One Where Rachel Quits",3,10,8.2,22,1996,2235,"Comedy","Romance","",8.9,"TV-14","New York"
"203","Friends","The One Where Chandler Can't Remember Which Sister",3,11,8.6,22,1997,2308,"Comedy","Romance","",8.9,"TV-14","New York"
"204","Friends","The One with All the Jealousy",3,12,8.3,22,1997,2197,"Comedy","Romance","",8.9,"TV-14","New York"
"205","Friends","The One Where Monica and Richard Are Just Friends",3,13,8.3,22,1997,2196,"Comedy","Romance","",8.9,"TV-14","New York"
"206","Friends","The One with Phoebe's Ex-Partner",3,14,8,22,1997,2210,"Comedy","Romance","",8.9,"TV-14","New York"
"207","Friends","The One Where Ross and Rachel Take a Break",3,15,8.6,22,1997,2385,"Comedy","Romance","",8.9,"TV-14","New York"
"208","Friends","The One the Morning After",3,16,9.1,22,1997,2899,"Comedy","Romance","",8.9,"TV-14","New York"
"209","Friends","The One Without the Ski Trip",3,17,8.4,22,1997,2158,"Comedy","Romance","",8.9,"TV-14","New York"
"210","Friends","The One with the Hypnosis Tape",3,18,8.5,22,1997,2246,"Comedy","Romance","",8.9,"TV-14","New York"
"211","Friends","The One with the Tiny T-Shirt",3,19,8.2,22,1997,2179,"Comedy","Romance","",8.9,"TV-14","New York"
"212","Friends","The One with the Dollhouse",3,20,8.2,22,1997,2162,"Comedy","Romance","",8.9,"TV-14","New York"
"213","Friends","The One with the Chick and the Duck",3,21,8.8,22,1997,2319,"Comedy","Romance","",8.9,"TV-14","New York"
"214","Friends","The One with the Screamer",3,22,8.4,22,1997,2222,"Comedy","Romance","",8.9,"TV-14","New York"
"215","Friends","The One with Ross's Thing",3,23,8.2,22,1997,2171,"Comedy","Romance","",8.9,"TV-14","New York"
"216","Friends","The One with the Ultimate Fighting Champion",3,24,8.2,22,1997,2288,"Comedy","Romance","",8.9,"TV-14","New York"
"217","Friends","The One at the Beach",3,25,8.9,22,1997,2539,"Comedy","Romance","",8.9,"TV-14","New York"
"218","Friends","The One with the Jellyfish",4,1,9.1,22,1997,2907,"Comedy","Romance","",8.9,"TV-14","New York"
